Time (s),Distance - X ,Distance - Y ,Distance - Total 
0.00,0.00,0.00,0.00
0.15,0.00,0.00,0.00
0.31,0.00,0.00,0.00
0.47,0.00,0.00,0.00
0.64,0.39,0.17,0.42
0.80,4.31,0.60,4.37
0.96,7.55,1.10,7.64
1.11,12.08,1.49,12.19
1.28,21.94,1.80,22.06
1.43,32.63,2.02,32.76
1.59,46.71,2.11,46.83
1.74,63.31,2.20,63.43
1.90,70.74,5.82,71.69
2.06,77.06,16.51,84.11
2.22,89.83,19.95,97.34
2.37,99.02,23.61,107.23
2.53,104.46,25.24,112.91
2.69,109.00,26.48,117.62
2.86,109.87,26.68,118.51
3.01,110.69,26.85,119.35
3.17,111.86,27.12,120.55
3.33,113.36,27.50,122.09
3.49,115.21,27.94,124.00
3.64,117.02,28.34,125.85
3.80,118.24,28.56,127.09
3.96,119.01,28.67,127.87
4.12,119.67,28.76,128.54
4.29,119.84,28.79,128.70
4.43,119.89,28.80,128.76
4.59,121.60,29.05,130.49
4.75,122.44,29.19,131.34
4.91,122.94,29.28,131.84
5.06,123.36,29.36,132.28
5.22,123.50,29.38,132.42
5.38,123.56,29.40,132.48
5.54,123.60,29.40,132.51
5.69,123.62,29.41,132.54
5.85,123.64,29.41,132.56
6.01,123.66,29.41,132.58
6.16,123.67,29.42,132.59
6.33,123.69,29.42,132.60
6.49,123.70,29.42,132.62
6.65,123.71,29.42,132.63
6.81,123.72,29.42,132.64
6.96,123.72,29.43,132.64
7.12,123.73,29.43,132.65
7.30,123.74,29.43,132.66
7.45,123.74,29.43,132.66
7.60,123.75,29.43,132.67
7.76,123.75,29.43,132.67
7.92,123.75,29.43,132.67
8.08,123.75,29.43,132.67
8.23,123.75,29.43,132.67
8.39,123.75,29.43,132.67
8.56,126.13,29.89,135.09
8.72,128.73,30.24,137.71
8.89,131.06,30.42,140.05
9.03,133.84,33.48,144.18
9.19,135.36,37.53,148.51
9.35,135.41,38.28,149.26
9.51,136.11,39.26,150.46
9.66,136.62,40.82,152.11
9.82,137.87,45.71,157.15
9.99,139.66,50.91,162.65
10.15,140.83,53.90,165.86
10.30,142.52,59.36,171.58
10.46,144.95,67.64,180.21
10.62,147.65,75.55,188.56
10.78,150.23,83.26,196.70
10.95,153.29,90.94,204.96
11.10,155.29,97.45,211.78
11.26,158.12,108.39,223.07
11.42,162.14,120.90,236.21
11.58,165.53,134.61,250.34
11.73,169.29,149.48,265.68
11.89,173.32,163.95,280.70
12.05,177.23,176.84,294.17
12.19,181.13,189.81,307.71
12.35,185.07,202.99,321.46
12.51,189.13,215.59,334.70
12.67,192.74,226.87,346.54
12.82,193.43,241.23,360.92
12.98,195.49,248.95,368.92
13.14,200.22,260.20,381.11
13.30,202.45,265.07,386.48
13.47,202.71,266.02,387.46
13.62,203.03,267.69,389.16
13.77,203.35,269.36,390.86
13.94,203.75,271.37,392.91
14.10,203.98,272.56,394.12
14.25,204.15,273.63,395.20
14.40,204.21,274.02,395.60
14.56,204.23,274.12,395.70
14.71,204.26,274.28,395.86
14.87,204.30,274.55,396.14
15.03,204.31,274.61,396.20
15.20,204.31,274.63,396.21
15.36,204.31,274.63,396.22
15.51,204.31,274.64,396.23
15.67,204.32,274.68,396.27
15.83,204.32,274.70,396.29
15.99,204.36,275.12,396.71
16.14,204.45,275.79,397.38
16.31,204.47,276.01,397.61
16.47,204.49,276.15,397.75
16.63,204.50,276.24,397.84
16.78,204.51,276.32,397.92
16.94,204.55,276.63,398.23
17.10,204.65,277.39,399.00
17.27,204.68,277.61,399.22
17.41,204.69,277.73,399.34
17.57,204.70,277.80,399.41
17.73,204.71,277.86,399.47
17.89,204.71,277.91,399.52
18.04,204.72,277.95,399.56
18.20,204.72,277.98,399.60
18.36,204.73,278.01,399.63
18.52,204.73,278.04,399.65
18.68,204.73,278.09,399.70
18.84,205.23,281.57,403.22
19.00,205.64,284.25,405.93
19.16,206.24,284.75,406.71
19.32,210.75,285.61,411.30
19.47,211.41,285.89,412.02
19.63,212.84,286.69,413.66
19.79,215.21,288.06,416.40
19.95,218.71,289.02,420.02
20.10,224.57,290.03,425.98
20.26,232.29,291.48,433.83
20.42,240.63,293.71,442.46
20.56,249.86,296.04,451.98
20.73,261.80,299.08,464.29
20.89,275.36,302.40,478.26
21.05,288.54,306.82,492.17
21.21,298.02,310.15,502.21
21.36,309.55,314.08,514.39
21.52,319.87,318.29,525.53
21.69,329.23,321.83,535.54
21.84,339.77,325.71,546.78
22.00,348.76,329.11,556.39
22.16,359.41,332.80,567.66
22.32,369.98,336.72,578.93
22.48,381.24,340.42,590.79
22.63,394.21,344.58,604.40
22.79,409.51,345.83,619.76
22.95,417.11,347.98,627.65
23.11,425.10,349.92,635.88
23.28,429.56,350.63,640.39
23.42,429.96,350.67,640.79
23.58,430.96,350.70,641.79
23.74,431.32,350.71,642.15
23.90,431.45,350.71,642.29
24.05,431.56,350.71,642.40
24.21,431.65,350.71,642.49
24.37,431.73,350.71,642.57
24.52,431.81,350.71,642.64
24.68,432.25,350.76,643.09
24.84,432.60,350.79,643.44
25.01,450.46,351.25,661.30
25.17,450.64,351.60,661.70
25.32,452.66,351.66,663.72
25.48,454.42,354.95,667.45
25.64,455.05,358.03,670.59
25.80,455.26,360.73,673.30
25.96,455.84,361.17,674.02
26.12,457.81,364.99,678.32
26.28,458.74,365.89,679.62
26.44,460.30,369.63,683.67
26.60,461.87,375.39,689.64
26.75,463.53,379.78,694.33
26.91,464.68,383.29,698.03
27.06,466.91,390.70,705.77
27.23,469.89,400.28,715.79
27.38,472.70,408.86,724.82
27.54,475.68,417.83,734.28
27.70,478.83,428.93,745.81
27.87,482.32,441.84,759.19
28.01,486.47,455.48,773.45
28.18,490.00,467.07,785.56
28.34,493.84,479.54,798.61
28.50,497.78,491.00,810.73
28.65,501.65,503.26,823.58
28.81,505.64,516.30,837.22
28.97,509.70,528.96,850.51
29.13,513.57,540.75,862.92
29.28,517.60,553.79,876.58
29.44,519.30,566.70,889.60
29.60,520.35,571.81,894.81
29.76,520.54,575.89,898.90
29.92,520.69,578.54,901.55
30.07,520.70,579.42,902.42
30.23,520.71,579.81,902.82
30.39,520.72,580.47,903.48
30.55,520.73,580.79,903.80
30.70,520.73,580.91,903.92
30.87,520.73,581.05,904.06
31.03,520.73,581.17,904.18
31.17,520.73,581.27,904.28
31.33,520.73,581.34,904.35
31.49,520.73,581.40,904.41
31.65,520.74,581.45,904.46
31.82,520.74,581.49,904.50
31.96,520.74,581.52,904.53
32.13,520.74,581.58,904.59
32.30,520.74,581.64,904.65
32.44,520.74,581.66,904.67
32.60,520.74,581.68,904.69
32.76,520.74,581.69,904.70
32.92,520.74,581.71,904.72
33.07,520.74,581.72,904.73
33.23,520.74,581.73,904.74
33.39,520.74,581.75,904.76
33.55,520.74,581.77,904.78
33.70,520.74,581.79,904.80
33.86,520.74,581.81,904.82
34.02,520.74,581.82,904.83
34.19,520.77,590.09,913.10
34.36,520.86,599.03,922.04
34.50,521.00,601.88,924.89
34.66,523.31,602.94,927.44
34.82,524.01,602.96,928.13
34.99,527.72,603.34,931.86
35.14,527.88,604.02,932.56
35.30,530.77,605.55,935.84
35.46,533.15,607.58,938.96
35.62,536.49,608.89,942.55
35.78,541.59,610.33,947.85
35.94,549.40,611.23,955.72
36.10,560.78,613.54,967.32
36.25,571.45,616.05,978.28
36.40,583.26,618.97,990.46
36.56,597.45,622.82,1005.16
36.73,611.48,626.85,1019.76
36.88,625.08,630.83,1033.92
37.03,638.71,634.99,1048.17
37.19,651.57,639.23,1061.71
37.35,664.04,643.38,1074.86
37.51,676.30,647.57,1087.81
37.66,688.67,651.68,1100.85
37.82,701.86,655.97,1114.71
37.99,715.68,660.37,1129.22
38.15,729.31,664.66,1143.51
38.31,744.66,664.78,1158.86
38.46,750.52,666.46,1164.95
38.63,755.79,668.03,1170.45
38.78,758.38,668.57,1173.10
38.95,758.48,668.61,1173.21
39.10,759.61,668.65,1174.33
39.26,761.05,668.74,1175.78
39.42,761.63,668.78,1176.36
39.58,761.81,668.79,1176.54
39.75,761.91,668.80,1176.64
39.89,761.98,668.80,1176.71
40.06,762.04,668.80,1176.77
40.21,762.08,668.81,1176.81
40.37,762.12,668.81,1176.85
40.52,762.15,668.81,1176.89
40.68,762.18,668.81,1176.92
40.84,762.21,668.82,1176.94
40.99,762.23,668.82,1176.97
41.15,762.26,668.82,1176.99
41.31,762.27,668.82,1177.01
41.48,771.21,669.38,1185.96
41.64,780.77,669.71,1195.52
41.79,783.73,669.99,1198.50
41.95,785.17,672.59,1201.47
42.11,785.35,672.82,1201.76
42.27,785.99,675.99,1205.00
42.42,786.80,676.31,1205.87
42.59,787.72,678.85,1208.58
42.74,790.56,682.23,1212.99
42.91,792.13,685.67,1216.77
43.07,792.78,689.40,1220.56
43.22,794.44,696.85,1228.19
43.38,796.77,704.51,1236.19
43.55,799.27,711.57,1243.69
43.71,802.06,719.70,1252.29
43.85,805.36,729.31,1262.45
44.01,808.91,739.94,1273.65
44.17,812.53,752.06,1286.30
44.33,816.48,766.22,1301.00
44.48,820.62,781.42,1316.75
44.64,824.67,795.51,1331.41
44.81,829.11,809.89,1346.46
44.98,833.47,823.95,1361.19
45.12,837.69,837.42,1375.30
45.29,841.90,850.45,1388.99
45.44,846.25,863.42,1402.67
45.60,850.37,875.77,1415.69
45.75,850.86,889.56,1429.49
45.91,852.87,898.43,1438.59
46.07,855.92,908.99,1449.58
46.23,856.75,912.83,1453.50
46.38,856.78,913.37,1454.05
46.53,856.81,914.45,1455.13
46.69,856.82,914.73,1455.41
46.85,856.83,914.85,1455.53
47.00,856.83,914.93,1455.61
47.16,856.84,914.99,1455.67
47.32,856.84,915.04,1455.72
47.47,856.84,915.08,1455.76
47.63,856.84,915.11,1455.79
47.79,856.84,915.15,1455.83
47.95,856.86,915.35,1456.03
48.10,856.86,915.36,1456.04
48.26,856.86,915.36,1456.04
48.42,856.86,915.37,1456.05
48.58,856.86,915.37,1456.05
48.73,856.86,915.37,1456.05
48.89,856.86,915.38,1456.06
49.05,856.86,915.38,1456.06
49.21,856.86,915.38,1456.06
49.35,856.86,915.39,1456.07
49.51,856.86,915.39,1456.07
49.67,856.86,915.39,1456.07
49.83,856.86,915.39,1456.07
49.98,856.86,915.39,1456.07
50.14,856.86,915.39,1456.07
50.30,856.86,915.40,1456.08
50.46,856.86,915.40,1456.08
50.63,856.94,922.12,1462.80
50.78,857.38,935.48,1476.17
50.95,857.62,937.12,1477.83
51.11,859.71,937.96,1480.08
51.26,860.07,938.05,1480.45
51.43,863.36,938.25,1483.75
51.58,864.09,938.37,1484.48
51.74,868.36,939.30,1488.86
51.90,870.77,941.11,1491.87
52.05,872.87,942.00,1494.15
52.21,878.88,943.60,1500.37
52.37,886.86,945.47,1508.57
52.54,892.88,947.11,1514.81
52.69,901.07,949.16,1523.25
52.85,911.90,952.53,1534.59
53.00,923.44,955.71,1546.57
53.16,935.13,959.84,1558.96
53.31,942.78,962.67,1567.12
53.47,952.19,965.50,1576.94
53.63,963.29,969.39,1588.71
53.79,973.36,972.82,1599.34
53.94,984.52,976.43,1611.08
54.10,995.10,980.12,1622.28
54.26,1006.56,983.62,1634.26
54.43,1018.79,987.67,1647.14
54.58,1030.29,991.37,1659.23
54.74,1043.26,995.10,1672.72
54.90,1058.24,996.81,1687.80
55.06,1063.78,999.12,1693.81
55.22,1068.82,999.93,1698.91
55.37,1071.63,1000.06,1701.71
55.53,1072.63,1000.11,1702.71
55.69,1072.80,1000.12,1702.89
55.85,1073.12,1000.12,1703.21
56.00,1073.72,1000.13,1703.81
56.16,1073.98,1000.14,1704.07
56.33,1074.16,1000.15,1704.25
56.49,1074.34,1000.15,1704.43
56.64,1074.48,1000.16,1704.57
56.80,1074.59,1000.16,1704.68
56.97,1074.68,1000.17,1704.77